期号	红球1	红球2	红球3	红球4	红球5	红球6
2016100	3	10	22	23	27	29
2016101	1	3	19	24	32	33
2016102	5	8	10	14	17	30
2016103	1	5	13	19	24	27
2016104	5	9	11	18	30	31
2016105	8	10	19	27	28	31
2016106	4	5	13	22	25	30
2016107	6	11	18	26	27	32
2016108	2	3	7	8	19	26
2016109	9	11	15	16	27	33
2016110	5	7	28	31	32	33
2016111	2	4	7	14	15	32
2016112	6	12	14	15	18	25
2016113	1	11	16	17	20	26
2016114	5	16	20	22	27	29
2016115	6	8	20	22	26	27
2016116	7	18	20	23	27	31
2016117	3	10	14	17	28	33
2016118	9	14	22	23	31	33
2016119	9	19	21	30	31	32
2016120	2	5	6	21	25	28
2016121	2	3	10	23	25	28
2016122	15	22	23	24	28	29
2016123	7	9	12	14	20	27
2016124	9	15	21	24	27	32
2016125	1	6	8	20	27	30
2016126	2	6	12	17	18	19
2016127	7	12	17	26	29	31
2016128	4	9	11	17	26	27
2016129	5	6	8	21	31	33
2016130	3	17	21	23	27	28
2016131	4	10	18	19	25	27
2016132	5	8	13	19	27	28
2016133	15	16	21	22	27	33
2016134	11	12	13	14	18	33
2016135	2	8	10	18	20	33
2016136	2	7	10	20	27	29
2016137	1	6	9	10	15	32
2016138	7	16	20	24	25	30
2016139	1	6	19	26	28	30
2016140	1	2	5	17	26	32
2016141	4	13	15	17	21	24
2016142	1	10	17	21	23	30
2016143	6	9	23	24	25	33
2016144	4	10	12	27	32	33
2016145	1	3	7	12	19	20
2016146	3	7	15	16	17	23
2016147	4	14	18	28	31	32
2016148	1	2	11	20	26	30
2016149	3	20	23	26	32	33
2016150	2	4	5	9	13	21
2016151	6	11	16	20	22	33
2016152	2	8	9	16	20	22
2016153	7	9	16	24	25	29
2017001	9	11	14	20	25	26
2017002	15	19	23	24	25	32
2017003	1	4	8	15	27	32
2017004	5	13	17	26	27	30
2017005	6	11	12	22	23	30
2017006	2	4	8	26	29	33
2017007	2	4	5	24	26	33
2017008	7	13	15	27	28	29
2017009	2	6	8	9	15	29
2017010	5	8	19	25	28	30
2017011	10	11	12	23	26	29
2017012	10	11	14	15	16	24
2017013	8	11	28	29	31	33
2017014	6	8	18	20	23	31
2017015	1	8	9	14	17	32
2017016	5	8	16	22	27	29
2017017	3	7	8	10	22	23
2017018	1	2	3	17	25	31
2017019	4	6	8	12	23	25
2017020	4	8	10	12	31	33
2017021	2	5	10	22	32	33
2017022	2	6	15	16	18	32
2017023	1	3	4	11	18	22
2017024	9	21	25	26	29	31
2017025	2	15	16	17	22	32
2017026	3	10	12	19	27	30
2017027	2	4	11	14	27	30
2017028	7	8	12	13	22	30
2017029	2	15	21	23	25	30
2017030	1	7	9	20	23	30
2017031	6	10	16	26	27	29
2017032	5	8	15	24	27	31
2017033	5	7	15	20	23	30
2017034	4	7	8	19	32	33
